id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.label,udps.flowsimhashvalue
65,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58630,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188749,1678200188811,62,2,204,1678200188749,1678200188749,0,1,62,1678200188811,1678200188811,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7023260340"
66,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58640,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188749,1678200188811,62,2,204,1678200188749,1678200188749,0,1,62,1678200188811,1678200188811,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7042117814"
67,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58638,"222.128.173.61","2c:b2:1a:55:86:07","2c:b2:1a",53909,17,4,0,0,1678200188823,1678200194630,5807,54,8665,1678200188823,1678200194577,5754,27,4435,1678200188880,1678200194630,5750,27,4230,"STUN","Network",0,6,"","","","","","Unspecified","6272018864"
68,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58630,"218.60.173.125","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200188829,1678200194648,5819,52,8004,1678200188829,1678200194578,5749,28,4242,1678200188880,1678200194648,5768,24,3762,"STUN","Network",0,6,"","","","","","Unspecified","6809414064"
69,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58632,"218.60.173.113","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200188829,1678200194639,5810,51,7910,1678200188829,1678200194578,5749,27,4132,1678200188880,1678200194639,5759,24,3778,"STUN","Network",0,6,"","","","","","Unspecified","6800649650"
70,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5886,"219.153.35.252","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200188906,1678200196497,7591,13,2625,1678200188906,1678200196438,7532,5,449,1678200188924,1678200196497,7573,8,2176,"TLS","Web",1,1,"","","","","","web","6672723127"
71,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5889,"106.11.43.246","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200189074,1678200189128,54,2,121,1678200189074,1678200189074,0,1,55,1678200189128,1678200189128,0,1,66,"TLS","Web",1,1,"","","","","","web","6844693938"
72,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5847,"49.79.227.198","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200189241,1678200189294,53,2,121,1678200189241,1678200189241,0,1,55,1678200189294,1678200189294,0,1,66,"TLS","Web",1,1,"","","","","","web","7448834999"
73,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",1997,"108.177.125.188","2c:b2:1a:55:86:07","2c:b2:1a",5228,6,4,0,0,1678200190538,1678200190597,59,2,121,1678200190538,1678200190538,0,1,55,1678200190597,1678200190597,0,1,66,"Unknown","Unspecified",0,0,"","","","","","Unspecified","8547511219"
74,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58650,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200194698,1678200194751,53,2,204,1678200194698,1678200194698,0,1,62,1678200194751,1678200194751,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7040021174"
